site,latitude,longitude
SBI_SOUTHEAST_SEALION,33.46878,-119.02882
SBI_SOUTHEAST_SEA_LION_CEN,33.4661,-119.027783
SBI_WEBSTERS_ARCH_CEN,33.480033,-119.0621
SBI_WEBSTERS_ARCH_E,33.478767,-119.05355
SBI_WEBSTERS_ARCH_N,33.4903,-119.049217
SCAI_BLUE_CAVERN,33.44802,-118.47947
SCI_CAVERN_POINT_E,34.054283,-119.566867
SCI_CAVERN_POINT_W,34.05275,-119.5713
SCI_COCHE_POINT_E,34.044933,-119.6014
SCI_COCHE_POINT_W,34.04265,-119.604
SCI_FORNEY_E,34.051483,-119.909667
SCI_FORNEY_W,34.053883,-119.9182
SCI_GULL_ISLE_E,33.946467,-119.823183
SCI_GULL_ISLE_W,33.948167,-119.82795
SCI_HAZARDS_CEN,34.056583,-119.821167
SCI_HAZARDS_E,34.054383,-119.81935
SCI_HAZARDS_W,34.0581,-119.824833
SCI_LITTLE_SCORPION_E,34.0434,-119.535733
SCI_LITTLE_SCORPION_W,34.04415,-119.54245
SCI_PAINTED_CAVE_CEN,34.072867,-119.870983
SCI_PAINTED_CAVE_E,34.0719,-119.85755
SCI_PAINTED_CAVE_W,34.074483,-119.882133
SCI_PELICAN_CEN,34.03065,-119.69665
SCI_PELICAN_E,34.02805,-119.690917
SCI_PELICAN_FAR_WEST,34.0324,-119.698883
SCI_PELICAN_W,34.035867,-119.7023
SCI_POTATO_PASTURE_E,34.050983,-119.575883
SCI_POTATO_PASTURE_W,34.052167,-119.582117
SCI_SAN_PEDRO_POINT_E,34.038367,-119.5253
SCI_SAN_PEDRO_POINT_W,34.04225,-119.5316
SCI_SCORPION_ANCHORAGE,34.047983,-119.5514
SCI_SCORPION_E,34.048467,-119.546367
SCI_SCORPION_W,34.0525,-119.55525
SCI_VALLEY_CEN,33.983617,-119.6384
SCI_VALLEY_E,33.98355,-119.620317
SCI_VALLEY_W,33.9817,-119.6637
SCI_YELLOWBANKS_CEN,33.988533,-119.546983
SCI_YELLOWBANKS_E,34.000433,-119.545933
SCI_YELLOWBANKS_W,33.9893,-119.564933
SEA_LION_MPA_1,38.93241,-123.73328
SEA_LION_REFERENCE_1,38.92769,-123.73447
SIREN,36.630733,-121.91859
SMI_BAY_POINT,34.03765,-120.30995
SMI_CROOK_POINT_E,34.015867,-120.3305
SMI_CROOK_POINT_W,34.01385,-120.337333
SMI_CUYLER_E,34.051717,-120.346183
SMI_CUYLER_W,34.05705,-120.3526
SMI_HARE_ROCK,34.06543,-120.3562
SMI_HARRIS_PT_RESERVE_E,34.052783,-120.337383
SMI_HARRIS_PT_RESERVE_W,34.063683,-120.355983
SMI_PRINCE_ISLAND_CEN,34.052327,-120.3358
SMI_PRINCE_ISLAND_N,34.055566,-120.3343
SMI_TYLER_BIGHT_E,34.025467,-120.4067
SMI_TYLER_BIGHT_W,34.027292,-120.411744
SOBERANES,36.445343,-121.929144
SOUTH_WRECK_DC,36.223864,-121.787408
SOUTH_WRECK_UC,36.225295,-121.790545
SPANISH_BAY_DC,36.616662,-121.954606
SPANISH_BAY_UC,36.618809,-121.953836
SPROUTS,36.946942,-122.073159
SRI_BEACON_REEF_E,34.037383,-120.038
SRI_BEACON_REEF_W,34.040667,-120.043233
SRI_BEE_ROCK_E,33.9478,-120.21055
SRI_BEE_ROCK_W,33.9539,-120.2119
SRI_CARRINGTON_CEN,34.037782,-120.05953
SRI_CARRINGTON_E,34.041424,-120.04256
SRI_CARRINGTON_W,34.031681,-120.0701
SRI_CHICKASAW_E,33.900167,-120.136367
SRI_CHICKASAW_W,33.901117,-120.13975
SRI_CLUSTER_POINT_N,33.931667,-120.197417
SRI_CLUSTER_POINT_S,33.923833,-120.192
SRI_FORD_POINT,33.9478,-120.210429
SRI_JOHNSONS_LEE_NORTH_E,33.90295,-120.099167
SRI_JOHNSONS_LEE_NORTH_W,33.9009,-120.09915
SRI_JOHNSONS_LEE_SOUTH_E,33.897433,-120.100383
SRI_JOHNSONS_LEE_SOUTH_W,33.895133,-120.104317
SRI_JOLLA_VIEJA_E,33.906833,-120.06745
SRI_JOLLA_VIEJA_W,33.90635,-120.0697
SRI_MONACOS_E,33.983667,-120.010083
SRI_MONACOS_W,33.987967,-120.0117
SRI_RODES_REEF_E,34.0325,-120.1072
SRI_RODES_REEF_W,34.031188,-120.10881
SRI_SOUTH_POINT_E,33.891567,-120.1192
SRI_SOUTH_POINT_W,33.894167,-120.124883
SRI_TRANCION_CANYON_E,33.90725,-120.153
SRI_TRANCION_CANYON_W,33.91035,-120.159117
STEWARTS_POINT_MPA_1,38.6668,-123.42064
STEWARTS_POINT_MPA_2,38.65073,-123.40953
STEWARTS_POINT_MPA_3,38.61415,-123.37745
STEWARTS_POINT_MPA_4,38.59765,-123.36371
STILLWATER_DC,36.559729,-121.944014
STILLWATER_UC,36.560116,-121.94732
STOCKTON,36.946228,-122.05001
SURF,34.63022,-120.64252
TENERA,35.238631,-120.895481
TEN_MILE_1,39.59057,-123.7899
TEN_MILE_2,39.58253,-123.78743
TEN_MILE_3,39.57333,-123.78268
TERRACE_DC,36.944871,-122.064289
TERRACE_UC,36.944908,-122.066281
THREE_MILE,36.957757,-122.120067
TORRE_CANYON,36.184218,-121.707798
TRINIDAD_1,41.12788,-124.17548
TRINIDAD_2,41.09193,-124.1701
TRINIDAD_3,41.04845,-124.13105
TRINIDAD_4,41.089,-124.169
TRINIDAD_5,41.051,-124.144
VANDENBERG_N,34.740646,-120.642158
VANDENBERG_S,34.749687,-120.648418
WESTON_DC,36.510347,-121.945786
WESTON_UC,36.512613,-121.948765
WHALEBOAT_DC,35.861105,-121.435647
WHALEBOAT_UC,35.864211,-121.441191
WHITE_ROCK_DC,35.525649,-121.084627
WHITE_ROCK_UC,35.5271,-121.089899
