data_type,group,pisco_classcode,high_abundance,ecologically_significant,cultural_significance,endangered_threatened,recreational_importance,commercial_importance,analysis_filter_1,analysis_filter_1_notes,cryptic,genus,species,common_name,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,size_cutoff,sampling_notes,juv_size_cutoff,WL_a,WL_b,WL_W_units,WL_L_units,WL_input_length,source_LW_LC,WL_Reference_Notes,LC.a._for_WL,LC.b._for_WL,LC_type_for_WL,LL_Reference_Notes_for_WL,LL_Equation_for_WL,Max_Length_fishbase,temporary copy of Targeted,Size_Mature_cm,SM_input_length,F_SM_Notes,source_maturity,No.Lat,So.Lat,source_biogeography,TrophicGroup,BroadTrophic,source_trophic,Targeted,CommercialTargeted,RecreationTargeted,notes_trophic_targeted,recreational_legal_size_in_TL_2020,commercial_legal_size_in_TL_2020,legal_size_in,yoy_size,yoy_code,Thermal grouping from UCSC 2012 biogeo,thermal_composite_class_from_Freedman_et_al_2021,thermal_agreement,source_thermal,feeding_mode,water_column_position,mobility,substrate_association,source_behavior,biomass_buster,F_Type_toupdate,F_a_toupdate,F_b_toupdate,F_L_units_toupdate,F_input_length_toupdate,L_conversion_toupdate,Description_toupdate,Output.units_toupdate,F_Citation_toupdate,source_fecundity_toupdate,fecundity_notes_toupdate
fish,fish,AOCE,,,,,,,,,,Anarrhichthys,ocellatus,Wolf Eel,Anarrhichthys ocellatus,Animalia,Chordata,Actinopterygii,Perciformes,Anarhichadidae,,,10,5.03E-06,3.091,g,mm,TL,VRG,RecFIN,,,,,,240,Nontargeted,,,,,57,32,VRG,benthic macro-invertivore,carnivore,PISCO Fish size_trophic_table,Nontargeted,,,,,,,,,,Cool,High,Freedman,discriminant predator,benthic (on/in the bottom),mobile (1-10m),rock,PISCO species functional groups table,0,,,,,,,,,,,
fish,fish,APFL,,,,,,,,,,Apodichthys,flavidus,Penpiont Gunnel,Apodichthys flavidus,Animalia,Chordata,Actinopterygii,Perciformes,Pholidae,,,10,7.61E-07,3.296,g,mm,TL,VRG,Burge and Schultz 1973,,,,,,46,Nontargeted,,,,,57,33,VRG,benthic micro-invertivore,carnivore,Love 2011,Nontargeted,,,,,,,,,,,,,discriminant predator,benthic (on/in the bottom),mobile (1-10m),algae,PISCO species functional groups table,0,,,,,,,,,,,
fish,fish,ATHE,,,,,,,,,,Atherinopsidae,spp,"Grunion, Topsmelt Or Jacksmelt",Atherinopsidae,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinopsidae,,,10,3.83E-06,3.238,g,mm,SL,VRG,used Atherinops affinis,1.1934,-0.00192,REVERSE,used Atherinops affinis,TL= 1.1934 *SL + -0.0192,45,Nontargeted,,,,,50,23,Biogeography database Fish from Ecol of Marine FIshes Appendix 1-1 (used Atherinops affinis),planktivore,planktivore,PISCO Fish size_trophic_table,Nontargeted,,,,,,,,,,Warm,High,Freedman,discriminant predator,roaming pelagic,mobile (>1000m),none (pelagic),PISCO species functional groups table,1,,,,,,,,,,,
fish,fish,AVUL,,,,,,,,,,Alopias,vulpinus,Thresher Shark,Alopias vulpinus,Animalia,Chordata,Elasmobranchii,Lamniformes,Alopiidae,,,10,0.000311,2.3627,g,mm,TL,VRG,Williams et al. 2013,,,,,,760,Targeted,,,,,50,27,VRG,piscivore,piscivore,PISCO Fish size_trophic_table,Targeted,,,,,,,,,,Eurythermal,Low,Freedman,discriminant predator,roaming pelagic,mobile (>1000m),none (pelagic),PISCO species functional groups table,1,,,,,,,,,,,
fish,fish,BAITBALL,,,,,,,,,,,,"Bait, Sardines/Anchovies",Perciformes,Animalia,Chordata,Actinopterygii,Perciformes,,,,10,1.19E-05,3.021,g,mm,SL,VRG,used Sardinops sagax ()Williams et al. 2013,0.814,0,TYPICAL,FishBase,SL=0.813TL,39.5,Targeted,,,,,,,,planktivore,planktivore,PISCO Fish size_trophic_table,Targeted,,,,,,,,,,Warm,Low,Freedman,filter feeder (active),roaming pelagic,mobile (>1000m),none (pelagic),PISCO species functional groups table (used traits for EMOR/SSAG),1,,,,,,,,,,,
fish,fish,BATH,,,,,,,,,,Bathymasteridae,spp,Ronquils,Bathymasteridae,Animalia,Chordata,Actinopterygii,Perciformes,Bathymasteridae,,,10,1.14E-06,3.442696,g,mm,TL,VRG,used Rathbunella hypoplecta,,,,,,20,Nontargeted,,,,,,,,benthic micro-invertivore,carnivore,VRG,Nontargeted,,,,,,,,,,,,,discriminant predator,benthic (on/in the bottom),mobile (10-100m),rock,PISCO species functional groups table,0,,,,,,,,,,,
fish,fish,BFRE,,,,,,,,,,Brachyistius,frenatus,Kelp Surfperch,Brachyistius frenatus,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,,,5,5.00E-06,3.3596,g,mm,SL,VRG,Miller et al. 2008,0.7823,0.53443,TYPICAL,VRG unpublished data,(SL = aTL+b)cm,22,Nontargeted,,,,,50,27,VRG,benthic micro-invertivore,carnivore,PISCO Fish size_trophic_table,Nontargeted,,,,,,,5,BFREYOY,,Cool,Moderate,Freedman,discriminant predator,resident pelagic (upper water column),mobile (10-100m),algae,PISCO species functional groups table,0,,,,,,,,,,,
fish,fish,BLEN,,,,,,,,,X,Blenniidae,spp,Blennies,Blenniidae,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,,,5,1.58E-05,3.1049,g,mm,SL,VRG,used Hypsoblennius gentilis,1.1501,0.3994,REVERSE,used Hypsoblennius gentilis,TL= 1.1501 *SL + 3.994,17,Nontargeted,,,,,,,,benthic micro-invertivore,carnivore,Love 2011,Nontargeted,,,,,,,,,,,,,discriminant predator,benthic (on/in the bottom),mobile (1-10m),rock,PISCO species functional groups table,0,,,,,,,,,,,
fish,fish,BOTH,,,,,,,,,,Bothidae,spp,Lefteyed Flounders,Bothidae,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Bothidae,,,10,5.73E-10,3.5764,kg,mm,TL,VRG,used Pleuronichthys coenosus,,,,,,36,Targeted,,,,,,,,piscivore,piscivore,PISCO Fish size_trophic_table,Targeted,,,,,,,,,,,,,discriminant predator,benthic (on/in the bottom),mobile (>1000m),soft,PISCO species functional groups table,0,,,,,,,,,,,
fish,fish,BPOL,,,,,,,,,,Balistes,polylepis,Finescale Triggerfish,Balistes polylepis,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,,,10,0.0547,2.66,g,cm,TL,VRG,Barroso-Soto et al. 2007,,,,,,76,Nontargeted,,,,,41,-30,VRG,benthic macro-invertivore,carnivore,PISCO Fish size_trophic_table,Nontargeted,,,,,,,,,,Warm,High,Freedman,discriminant predator,benthopelagic (near the bottom),mobile (100-1000m),rock,PISCO species functional groups table,0,,,,,,,,,,,
fish,fish,BRAY,,,,,,,,,,Myliobatis,californica,Bat Ray,Myliobatis californica,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,,,10,2.32E-05,2.9433,g,mm,DW,VRG,Williams et al. 2013,,,,,,180,Nontargeted,,,,,44,23,VRG,benthic macro-invertivore,carnivore,PISCO Fish size_trophic_table,Nontargeted,,,,,,,,,,Warm,Moderate,Freedman,discriminant predator,benthopelagic (near the bottom),mobile (>1000m),soft,PISCO species functional groups table,1,,,,,,,,,,,
fish,fish,CAGG,,,,,,,,,,Cymatogaster,aggregata,Shiner Surfperch,Cymatogaster aggregata,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,,,5,2.08E-05,3.0721,g,mm,SL,VRG,Williams et al. 2013,1.2398,0.18277,REVERSE,Williams et al. 2013,TL= 1.2398 *SL + 1.8277,20.3,Nontargeted,1,TL,Implemented manually in R Code (no size at maturity used assume 5cm fish are mature since 1yr olds are mature according to this reference),VRG,56,30,VRG,benthic micro-invertivore,carnivore,PISCO Fish size_trophic_table,Nontargeted,,,,,,,,,,Cool,Moderate,Freedman,discriminant predator,benthopelagic (near the bottom),mobile (10-100m),algae,PISCO species functional groups table,0,,0.0128,2.735,?,FL,,power law F=a*L^b,,,Length_Fecundity from CAMEO Kelpforest database,
fish,fish,CANA,,,,,,,,,X,Clinocottus,analis,Wooly Sculpin,Clinocottus analis,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,,,3,1.74E-05,2.958,g,mm,TL,VRG,Wells 1986,,,,,,18,Nontargeted,,,,,39,27,VRG,benthic micro-invertivore,carnivore,VRG,Nontargeted,,,,,,,,,,,,,discriminant predator,benthic (on/in the bottom),mobile (1-10m),rock,PISCO species functional groups table,0,,,,,,,,,,,
fish,fish,CGIG,,,,,,,,,,Cryptacanthodes,giganteus,Giant Wrymouth,Cryptacanthodes giganteus,Animalia,Chordata,Actinopterygii,Perciformes,Cryptacanthodidae,,,10,0.002,2.954,g,cm,TL,Antonenko et al 2011,used Cryptacanthodes bergi (Antonenko et al. 2011),,,,,,117,Nontargeted,,,,,60,38,Estimated from Fishbase native range map,benthic macro-invertivore,carnivore,Beal et al. 2016,Nontargeted,,,"Diet info not found, guessed based on congener (Cryptacanthodes maculatus)",,,,,,,,,,discriminant predator,benthic (on/in the bottom),mobile (1-10m),soft,Fishbase/WDFW (lives in burrows in sand),0,,,,,,,,,,,
fish,fish,CIOS,,,,,,,,,,Clevelandia,ios,Arrow goby,Clevelandia ios,Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiidae,,,1.5,6.28E-06,3.2635,g,mm,SL,VRG,used Rhinogobiops nicholsii,,,,,,6.7,Nontargeted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fish,fish,CITH,,,,,,,,,,Citharichthys,spp,Sanddabs,Citharichthys,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,,,10,0.00552,3.232454,g,cm,TL,VRG,used Citharichthys sordidus,,,,,,41,Targeted,,,,,60,23,Biogeography database Fish from Ecol of Marine FIshes Appendix 1-1 (used Citharichthys sordidus),benthic micro-invertivore,carnivore,PISCO Fish size_trophic_table,Targeted,,,,,,,,,,Cool,High,Freedman,discriminant predator,benthic (on/in the bottom),mobile (>1000m),soft,PISCO species functional groups table,0,,,,,,,,,,,
fish,fish,CLIN,,,,,,,,,,Clinidae,spp,Kelpfishes And Fringeheads,Clinidae,Animalia,Chordata,Actinopterygii,Perciformes,Clinidae,,,10,4.80E-06,3.2364,g,mm,SL,VRG,used Gibbonsia elegans,1.1532,-0.03716,REVERSE,used Gibbonsia elegans,TL= 1.1532 *SL + -0.3716,61,Nontargeted,,,,,,,,benthic micro-invertivore,carnivore,PISCO Fish size_trophic_table,Nontargeted,,,,,,,,,,Warm,Low,Freedman,discriminant predator,benthic (on/in the bottom),mobile (1-10m),algae,PISCO species functional groups table,0,,,,,,,,,,,
fish,fish,CLUP,,,,,,,,,,Clupeiformes,,Sardines And Anchovies,Clupeiformes,Animalia,Chordata,Actinopterygii,Clupeiformes,,,,10,1.19E-05,3.021,g,mm,SL,VRG,used Sardinops sagax ()Williams et al. 2013,0.814,0,TYPICAL,FishBase,SL=0.813TL,39.5,Targeted,,,,,,,,planktivore,planktivore,PISCO Fish size_trophic_table,Targeted,,,,,,,,,,Warm,Low,Freedman,filter feeder (active),roaming pelagic,mobile (>1000m),none (pelagic),PISCO species functional groups table,1,,,,,,,,,,,
fish,fish,CNUG,,,,,,,,,X,Chirolophis,nugator,Mosshead Warbonnet,Chirolophis nugator,Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,,,5,1.45E-06,3.222401,g,mm,TL,VRG,used Xiphister mucosus,,,,,,14,Nontargeted,,,,,57,33,Biogeography database Fish from Ecol of Marine FIshes Appendix 1-1,benthic micro-invertivore,carnivore,Love 2011,Nontargeted,,,,,,,,,,Cool,High,Freedman,discriminant predator,benthic (on/in the bottom),mobile (0-1m),rock,PISCO species functional groups table,0,,,,,,,,,,,
fish,fish,COBS,,,,,,,,,,Carcharhinus,obscurus,Dusky shark,Carcharhinus obscurus,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,,,10,0.0324,2.786,g,cm,FL,VRG,Kohler et al. 1995,0.84,-3.19,TYPICAL,Kohler et al. 1995,FL = 0.840 *TL - 3.19,420,Targeted,,,,,33,18,Biogeography database Fish from Ecol of Marine FIshes Appendix 1-1,piscivore,piscivore,Fishbase,Targeted,,,,,,,,,,,,,discriminant predator,roaming pelagic,mobile (>1000m),none (pelagic),Fishbase,1,,,,,,,,,,,
fish,fish,COTT,,,,,,,,,,Cottidae,spp,Sculpins,Cottidae,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,,,10,3.19E-05,2.8831,g,mm,SL,VRG,used Artedius corallinus,0.8414,-0.10798,TYPICAL,used Artedius corallinus,(SL = aTL+b)cm,99,Nontargeted,,,,,,,,benthic micro-invertivore,carnivore,PISCO Fish size_trophic_table,Nontargeted,,,,,,,,,,,,,discriminant predator,benthic (on/in the bottom),mobile (1-10m),rock,PISCO species functional groups table,0,,,,,,,,,,,
fish,fish,CPRI,,,,,,,,,,Caulolatilus,princeps,Ocean Whitefish,Caulolatilus princeps,Animalia,Chordata,Actinopterygii,Perciformes,Malacanthidae,,,10,3.04E-06,3.22,g,mm,TL,VRG,RecFIN,,,,,,102,Targeted,17,,used average value of the range in maturity preented in that report,https://opc.ca.gov/webmaster/_media_library/2019/08/Draft_Marine-Species-Report_Ocean-Whitefish.pdf,50,-10,VRG,benthic micro-invertivore,carnivore,PISCO Fish size_trophic_table,Targeted,,,,,,,,,,Warm,High,Freedman,discriminant predator,benthopelagic (near the bottom),mobile (>1000m),soft,PISCO species functional groups table,0,,,,,,,,,,,
fish,fish,CPUG,,,,,,,,,X,Chitonotus,pugetensis,Roughback Sculpin,Chitonotus pugetensis,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,,,3,0.005064,3.267753,g,cm,TL,VRG,Love unpublished data,,,,,,23,Nontargeted,,,,,54,25,VRG,benthic micro-invertivore,carnivore,PISCO Fish size_trophic_table,Nontargeted,,,,,,,,,,Cool,Moderate,Freedman,discriminant predator,benthic (on/in the bottom),mobile (1-10m),rock,PISCO species functional groups table,0,,,,,,,,,,,
fish,fish,CPUN,South,South,,,,,,,,Chromis,punctipinnis,Blacksmith,Chromis punctipinnis,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,,,10,2.69E-05,3.0177,g,mm,SL,VRG,Williams et al. 2013,1.27,0,REVERSE,FishBase,TL=1.27SL,25,Nontargeted,,,,,36,27,VRG,planktivore,planktivore,PISCO Fish size_trophic_table,Nontargeted,,,,,,,5,CPUNYOY,,Warm,High,Freedman,discriminant predator,resident pelagic (upper water column),mobile (10-100m),rock,PISCO species functional groups table,0,,,,,,,,,,,
fish,fish,CSAT,,,,,,,,,,Cheilotrema,saturnum,Black Croaker,Cheilotrema saturnum,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,,,10,3.83E-05,2.9088,g,mm,SL,VRG,Williams et al. 2013,1.1944,0.13972,REVERSE,Williams et al. 2013,TL= 1.1944 *SL + 1.3972,45,Targeted,15,,,"Miller, Eric & Pondella, Daniel & Allen, Larry & Herbinson, Kevin. (2008). The life history and ecology of black croaker, cheilotrema saturnum. California Cooperative Oceanic Fisheries Investigations Report. 49. ",34,24,VRG,benthic micro-invertivore,carnivore,PISCO Fish size_trophic_table,Targeted,,,,,,,,,,Warm,High,Freedman,discriminant predator,benthopelagic (near the bottom),mobile (>1000m),soft,PISCO species functional groups table,0,,,,,,,,,,,
fish,fish,CSOR,,,,,,,,,,Citharichthys,sordidus,Pacific Sanddab,Citharichthys sordidus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,,,10,0.00552,3.232454,g,cm,TL,VRG,Love and Nishimoto unpublished data,,,,,,41,Targeted,,,,,60,23,VRG,benthic micro-invertivore,carnivore,PISCO Fish size_trophic_table,Targeted,,,,,,,,,,Cool,High,Freedman,discriminant predator,benthic (on/in the bottom),mobile (>1000m),soft,PISCO species functional groups table,0,,,,,,,,,,,
fish,fish,CSTI,,,,,,,,,,Citharichthys,stigmaeus,Speckled Sanddab,Citharichthys stigmaeus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,,,10,8.33E-06,3.1996,g,mm,SL,VRG,Williams et al. 2013,1.1699,0.0648,REVERSE,Williams et al. 2013,TL= 1.1699 *SL + 0.648,17,Targeted,,,,,60,23,VRG,benthic micro-invertivore,carnivore,PISCO Fish size_trophic_table,Targeted,,,,,,,,,,Cool,High,Freedman,discriminant predator,benthic (on/in the bottom),mobile (>1000m),soft,PISCO species functional groups table,0,,,,,,,,,,,
fish,fish,CVEN,,,,,,,,,,Cephaloscyllium,ventriosum,Swell Shark,Cephaloscyllium ventriosum,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,,,10,3.00E-06,3.1276,g,mm,TL,VRG,Williams et al. 2013,,,,,,100,Nontargeted,,,,,36,-30,VRG,piscivore,piscivore,PISCO Fish size_trophic_table,Nontargeted,,,,,,,,,,Warm,Low,Freedman,discriminant predator,benthic (on/in the bottom),mobile (>1000m),rock,PISCO species functional groups table,0,,,,,,,,,,,
fish,fish,CVIO,,,,,,,,,,Cebidichthys,violaceus,Monkeyface Eel,Cebidichthys violaceus,Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,,,10,0.01289,2.9,g,cm,SL,VRG,Marshall and Escheverria 1992,0.91,0,TYPICAL,used Chirolophis japonicus (FishBase),,76,Targeted,,,,,41,30,VRG,herbivore,herbivore,VRG,Targeted,,,,,,,,,,Cool,High,Freedman,discriminant predator,benthic (on/in the bottom),mobile (1-10m),rock,PISCO species functional groups table,0,,,,,,,,,,,
fish,fish,DMAC,,,,,,,,,,Decapterus,macarellus,Mackerel scad,Decapterus macarellus,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,,,10,7.00E-06,3.1246,g,mm,SL,VRG,used Trachurus symmetricus,0.795,0,TYPICAL,used Trachurus symmetricus,SL=0.795*TL,46,Targeted,,,,,54,-46,Fishbase,planktivore,planktivore,Fishbase,Targeted,,,,,,,,,,,,,filter feeder (active),roaming pelagic,mobile (>1000m),none (pelagic),Fishbase,1,,,,,,,,,,,
fish,fish,EBIS,,,,,,,,,,Enophrys,bison,Buffalo Sculpin,Enophrys bison,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,,,10,1.79E-08,2.896,kg,mm,TL,VRG,RecFIN,,,,,,37,Nontargeted,,,,,57,36,VRG,benthic micro-invertivore,carnivore,Love 2011,Nontargeted,,,,,,,,,,Cool,High,Freedman,discriminant predator,benthic (on/in the bottom),mobile (10-100m),rock,PISCO species functional groups table,0,,,,,,,,,,,
fish,fish,EJAC,,,,,,,,,,Embiotoca,jacksoni,Black Surfperch,Embiotoca jacksoni,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,,,10,8.00E-06,3.3244,g,mm,SL,VRG,Miller et al. 2008,0.799,-0.407,TYPICAL,RecFIN,(SL = aTL+b)cm,39,Nontargeted,19,TL,Female Size at maturity 29cm (Wares 1971),VRG,39,26,VRG,benthic micro-invertivore,carnivore,PISCO Fish size_trophic_table,Nontargeted,,,,,,,,,,Warm,Low,Freedman,discriminant predator,benthopelagic (near the bottom),mobile (10-100m),rock,PISCO species functional groups table,0,,-12.8,0.12,mm,SL,NEED TO UPDATE,linear F=a+b*L,,,Length_Fecundity from CAMEO Kelpforest database,
fish,fish,ELAT,,,,,,,,,,Embiotoca,lateralis,Striped Surfperch,Embiotoca lateralis,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,,,10,1.54E-05,3.01,g,mm,TL,VRG,RecFIN,,,,,,38,Nontargeted,,,,,56,31,VRG,benthic micro-invertivore,carnivore,PISCO Fish size_trophic_table,Nontargeted,,,,,,,,,,Cool,Moderate,Freedman,discriminant predator,benthopelagic (near the bottom),mobile (10-100m),rock,PISCO species functional groups table,0,,-27.79,0.173,?,SL,?,linear F=a+b*L,,,Length_Fecundity from CAMEO Kelpforest database,
fish,fish,EMBI,,,,,,,,,,Embiotocidae,spp,Surfperches,Embiotocidae,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,,,10,8.00E-06,3.3244,g,mm,SL,VRG,used Embiotoca jacksoni,0.799,-0.407,TYPICAL,RecFIN,(SL = aTL+b)cm,47,Nontargeted,,,,,,,,benthic micro-invertivore,carnivore,PISCO Fish size_trophic_table,Nontargeted,,,Changed TrophicGroup to benthic micro-invertivore to match the majority of species in family,,,,,,,Eurythermal,Low,Freedman,discriminant predator,benthopelagic (near the bottom),mobile (10-100m),rock,PISCO species functional groups table,0,,,,,,,,,,,
