site,campus,site_name_old,site_name_for_figures,latitude_originalfromVRG,longitude_originalfromVRG,latitude,longitude,site_campus_unique_ID,latitude_old,longitude_old,mpa_group,mpa_type,site_status,secondary_mpa,secondary_status,MLPA_longterm_in_proposal,STATE,mlpa_region,LongTermRegion,analysis_region_2,subregion,MXSRVYDPT_,YEAR_MPA,MPAAreaNM2,MPAShoreNM,CDIP_MOP,time_series_category,NOTES,survey_1999,survey_2000,survey_2001,survey_2002,survey_2003,survey_2004,survey_2005,survey_2006,survey_2007,survey_2008,survey_2009,survey_2010,survey_2011,survey_2012,survey_2013,survey_2014,survey_2015,survey_2016,survey_2017,survey_2018,survey_2019,survey_2020,survey_2021,survey_2022,survey_2023,SurveyYears
TRINIDAD_2,HSU,,Trinidad 2,,,41.09193,-124.1701,TRINIDAD_2 HSU,,,N/A,N/A,N/A,,,NO,CALIFORNIA,NORTH,North Coast,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,"f, ,s,u,",", ,s,u,","f, ,s, ,z",,,,3
TRINIDAD_4,HSU,,Trinidad 4,,,41.089,-124.169,TRINIDAD_4 HSU,,,N/A,N/A,N/A,,,NO,CALIFORNIA,NORTH,North Coast,#N/A,,,,,,,,,,,,,,,,,,,,,,,,"f, ,s,u,z",,,,,,,,,,1
Flat Iron Rock,RCCA,,Flat Iron Rock,,,41.0594,-124.1578,Flat Iron Rock RCCA,,,N/A,N/A,N/A,,,NO,CALIFORNIA,NORTH,#N/A,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Trinidad,RCCA,,Trinidad,,,41.0542,-124.1447,Trinidad RCCA,,,N/A,N/A,N/A,,,NO,CALIFORNIA,NORTH,North Coast,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
TRINIDAD_5,HSU,,Trinidad 5,,,41.051,-124.144,TRINIDAD_5 HSU,,,N/A,N/A,N/A,,,NO,CALIFORNIA,NORTH,North Coast,#N/A,,,,,,,,,,,,,,,,,,,,,,,,"f, ,s,u,z",,,,,,,,,,1
TRINIDAD_3,HSU,,Trinidad 3,,,41.04845,-124.13105,TRINIDAD_3 HSU,,,N/A,N/A,N/A,,,NO,CALIFORNIA,NORTH,North Coast,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,"f, ,s,u,z","f, ,s,u,","f, ,s, ,z",,,,3
DOUBLE_CONE_1,HSU,,Double Cone 1,,,39.79362,-123.84815,DOUBLE_CONE_1 HSU,,,Double Cone Rock SMCA,SMCA,mpa,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,what is the reference for Double Cone SMCA? is it shared iwth another MPA?,,,,,,,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,,,"f, ,s,u,z",,,,,3
DOUBLE_CONE_2,HSU,,Double Cone 2,,,39.75422,-123.84463,DOUBLE_CONE_2 HSU,,,Double Cone Rock SMCA,SMCA,mpa,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,what is the reference for Double Cone SMCA? is it shared iwth another MPA?,,,,,,,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,,,"f, ,s,u,z",,,,,3
ABALONE_POINT_1,HSU,,Abalone Point 1,,,39.6915,-123.8141,ABALONE_POINT_1 HSU,,,Ten Mile SMR,SMR,reference,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,2,,,,,,,,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,,"f, ,s,u,","f, ,s,u,","f, ,s, ,z",,"f, ,s,u,z","f, ,s,u,z",7
ABALONE_POINT_2,HSU,,Abalone Point 2,,,39.66502,-123.80435,ABALONE_POINT_2 HSU,,,Ten Mile SMR,SMR,reference,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,2,,,,,,,,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,,"f, ,s,u,","f, ,s,u,","f, ,s, ,z","f, ,s,u,z","f, ,s,u,z","f, ,s,u,z",8
ABALONE_POINT_3,HSU,,Abalone Point 3,,,39.62877,-123.79658,ABALONE_POINT_3 HSU,,,Ten Mile SMR,SMR,reference,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,2,,,,,,,,,,,,,,,,,,"f, ,s,u,z",,,"f, ,s,u,","f, ,s,u,","f, ,s, ,z","f, ,s,u,z","f, ,s,u,z","f, ,s,u,z",7
TEN_MILE_1,HSU,,Ten Mile 1,,,39.59057,-123.7899,TEN_MILE_1 HSU,,,Ten Mile SMR,SMR,mpa,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,1,,,,,,,,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,"f, ,s,u,","f, ,s,u,","f, ,s,u,z","f, ,s,u,z","f, ,s,u,z","f, ,s,u,z","f, ,s,u,z",9
TEN_MILE_2,HSU,,Ten Mile 2,,,39.58253,-123.78743,TEN_MILE_2 HSU,,,Ten Mile SMR,SMR,mpa,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,2,,,,,,,,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,,"f, ,s,u,","f, ,s,u,","f, ,s,u,z","f, ,s,u,z","f, ,s,u,z","f, ,s,u,z",8
TEN_MILE_3,HSU,,Ten Mile 3,,,39.57333,-123.78268,TEN_MILE_3 HSU,,,Ten Mile SMR,SMR,mpa,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,2,,,,,,,,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,,"f, ,s,u,","f, ,s,u,","f, ,s,u,z","f, ,s,u,z","f, ,s,u,z","f, ,s,u,z",8
MacKerricher North,RCCA,,MacKerricher North,,,39.4928,-123.802,MacKerricher North RCCA,,,MacKerricher SMCA,SMCA,mpa,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Glass Beach,RCCA,,Glass Beach,,,39.4523,-123.8156,Glass Beach RCCA,,,MacKerricher SMCA,SMCA,reference,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,***Located exactly on the southern edge of the MPA,,,,,,,,,,,,,,,,,,,,,,,,,,0
Noyo North,RCCA,Noyo Harbor,Noyo Harbor,,,39.4279,-123.8134,Noyo Harbor RCCA,,,MacKerricher SMCA,SMCA,reference,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,ETS-location changed based on mapping,,,,,,,,,,,,,,,,,,,,,,,,,,0
CASPAR_1,HSU,,Caspar 1,,,39.37403,-123.82683,CASPAR_1 HSU,,,Point Cabrillo SMR,SMR,reference,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,1,,,,,,,,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,"f, ,s,u,","f, ,s,u,","f, ,s,u,z",,,"f, ,s,u,z","f, ,s,u,z",7
CASPAR_2,HSU,,Caspar 2,,,39.36445,-123.82388,CASPAR_2 HSU,,,Point Cabrillo SMR,SMR,reference,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,1,,,,,,,,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",", , , ,z","f, ,s,u,","f, ,s,u,z","f, ,s,u,z",,,"f, ,s,u,z","f, ,s,u,z",8
Caspar North,RCCA,,Caspar North,,,39.3644,-123.821,Caspar North RCCA,,,Point Cabrillo SMR,SMR,reference,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Caspar,RCCA,,Caspar,,,39.3617,-123.822,Caspar RCCA,,,Point Cabrillo SMR,SMR,reference,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
CASPAR_3,HSU,,Caspar 3,,,39.35937,-123.82807,CASPAR_3 HSU,,,Point Cabrillo SMR,SMR,reference,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,2,,,,,,,,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",", , , ,z",,"f, ,s,u,z","f, ,s,u,",,,"f, ,s,u,z","f, ,s,u,z",7
Frolic Cove,RCCA,,Frolic Cove,,,39.355,-123.824,Frolic Cove RCCA,,,Point Cabrillo SMR,SMR,mpa,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
POINT_CABRILLO_1,HSU,,Point Cabrillo 1,,,39.35348,-123.82672,POINT_CABRILLO_1 HSU,,,Point Cabrillo SMR,SMR,mpa,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,2,,,,,,,,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,,"f, ,s,u,z","f, ,s,u,z","f, ,s,u,z",,"f, ,s,u,z","f, ,s,u,z",7
POINT_CABRILLO_2,HSU,,Point Cabrillo 2,,,39.35083,-123.82935,POINT_CABRILLO_2 HSU,,,Point Cabrillo SMR,SMR,mpa,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,1,,,,,,,,,,,,,,,,,,"f, ,s,u,z",", , , ,z","f, ,s,u,","f, ,s,u,z","f, ,s,u,z",,,"f, ,s,u,z","f, ,s,u,z",7
POINT_CABRILLO_3,HSU,,Point Cabrillo 3,,,39.34447,-123.82563,POINT_CABRILLO_3 HSU,,,Point Cabrillo SMR,SMR,mpa,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,1,,,,,,,,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",", , , ,z","f, ,s,u,","f, ,s,u,z","f, ,s,u,z",,,"f, ,s,u,z","f, ,s,u,z",8
RUSSIAN_GULCH_1,HSU,,Russian Gulch 1,,,39.34039,-123.822,RUSSIAN_GULCH_1 HSU,,,Point Cabrillo SMR,SMR,reference,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,ETS-location changed based on mapping,,,,,,,,,,,,,,,,,,", , , ,z","f, ,s,u,","f, , , ,",,,,,,3
RUSSIAN_GULCH_3,HSU,,Russian Gulch 3,,,39.33136,-123.817,RUSSIAN_GULCH_3 HSU,,,Point Cabrillo SMR,SMR,reference,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,ETS-location changed based on mapping,,,,,,,,,,,,,,,,,,", , , ,z","f, ,s,u,",,,,,,,2
Russian Gulch,RCCA,,Russian Gulch,,,39.328,-123.809,Russian Gulch RCCA,,,Russian Gulch SMCA,SMCA,mpa,,,NO,CALIFORNIA,NORTH,North Coast,South Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Mendocino Headlands,RCCA,,Mendocino Headlands,,,39.3053,-123.811,Mendocino Headlands RCCA,,,Russian Gulch SMCA,SMCA,reference,,,NO,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Portuguese Beach,RCCA,,Portuguese Beach,,,39.3032,-123.803,Portuguese Beach RCCA,,,Van Damme SMCA,SMCA,reference,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Van Damme,RCCA,,Van Damme,,,39.2719,-123.796,Van Damme RCCA,,,Van Damme SMCA,SMCA,mpa,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,Actually located outside SMCA,,,,,,,,,,,,,,,,,,,,,,,,,,0
Albion Cove,RCCA,,Albion Cove,,,39.2283,-123.7744,Albion Cove RCCA,,,Van Damme SMCA,SMCA,reference,,,NO,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ELK_HEADLANDS_2,HSU,,Elk Headlands 2,,,39.172449,-123.760522,ELK_HEADLANDS_2 HSU,,,Van Damme SMCA,SMCA,reference,,,NO,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,"only surveyed in 2014, no plans to survey again",,,,,,,,,,,,,,,,,"f, ,s,u,z",,,,,,,,,1
ELK_HEADLANDS_3,HSU,,Elk Headlands 3,,,39.139918,-123.737243,ELK_HEADLANDS_3 HSU,,,Van Damme SMCA,SMCA,reference,,,NO,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,"only surveyed in 2013/14, no plans to survey again",,,,,,,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,,,,,,,,2
Point Arena Lighthouse,RCCA,,Point Arena Lighthouse,,,38.9512,-123.744,Point Arena Lighthouse RCCA,,,Point Arena SMR,SMR,mpa,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
POINT_ARENA_MPA_1,UCSC,,Point Arena MPA 1,,,38.95117,-123.74404,POINT_ARENA_MPA_1 UCSC,,,Point Arena SMR,SMR,mpa,,,NO,CALIFORNIA,NCENTRAL,North Coast,North Coast,Pt. Arena,20,2010,0,0,MO186,,,,,,,,,,,,,,"f,c,s,u,z","f,c,s,u,z",,,,,,,,,,,,,2
POINT_ARENA_MPA_2,UCSC,,Point Arena MPA 2,,,38.94484,-123.74052,POINT_ARENA_MPA_2 UCSC,,,Point Arena SMR,SMR,mpa,,,NO,CALIFORNIA,NCENTRAL,North Coast,North Coast,Pt. Arena,20.2,2010,0,0,MO182,,,,,,,,,,,,,,", ,s,u,z","f,c,s,u,z",,,,,,,,,,,,,2
Point Arena MPA (M2),RCCA,Point Arena MPA 2,Point Arena MPA 2,,,38.9448,-123.741,Point Arena MPA (M2) RCCA,,,Point Arena SMR,SMR,mpa,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Stornetta,RCCA,,Stornetta,,,38.9372,-123.732,Stornetta RCCA,,,Sea Lion Cove SMCA,SMCA,mpa,,,NO,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SEA_LION_MPA_1,UCSC,,Sea Lion MPA 1,,,38.93241,-123.73328,SEA_LION_MPA_1 UCSC,,,Sea Lion Cove SMCA,SMCA,mpa,,,NO,CALIFORNIA,NCENTRAL,North Coast,North Coast,Pt. Arena,19.7,2010,0,0,MO168,,,,,,,,,,,,,,"f,c,s,u,z","f,c,s,u,z",,,,,,,,,,,,,2
Monument,RCCA,,Monument,,,38.9277,-123.7345,Monument RCCA,,,Point Arena SMR,SMR,reference,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SEA_LION_REFERENCE_1,UCSC,,Sea Lion Reference 1,,,38.92769,-123.73447,SEA_LION_REFERENCE_1 UCSC,,,Sea Lion Cove SMCA,SMCA,reference,,,NO,CALIFORNIA,NCENTRAL,North Coast,North Coast,Pt. Arena,20.8,0,0,0,MO164,,,,,,,,,,,,,,"f,c,s,u,z","f,c,s,u,z",,,,,,,,,,,,,2
Point Arena Ref,RCCA,,Point Arena Ref,,,38.908,-123.719,Point Arena Ref RCCA,,,Point Arena SMR,SMR,reference,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
POINT_ARENA_REFERENCE_1,UCSC,,Point Arena Reference 1,,,38.908,-123.7191,POINT_ARENA_REFERENCE_1 UCSC,,,Point Arena SMR,SMR,reference,,,NO,CALIFORNIA,NCENTRAL,North Coast,North Coast,Pt. Arena,19.8,0,0,0,MO147,,,,,,,,,,,,,,", ,s,u,","f,c,s,u,z",,,,,,,,,,,,,2
POINT_ARENA_REFERENCE_2,UCSC,,Point Arena Reference 2,,,38.89199,-123.70432,POINT_ARENA_REFERENCE_2 UCSC,,,Point Arena SMR,SMR,reference,,,NO,CALIFORNIA,NCENTRAL,North Coast,North Coast,Pt. Arena,20,0,0,0,MO138,,,,,,,,,,,,,,"f,c,s,u,z","f,c,s,u,z",,,,,,,,,,,,,2
POINT_ARENA_REFERENCE_3,HSU,,Point Arena Reference 3,,,38.88297,-123.69522,POINT_ARENA_REFERENCE_3 HSU,,,Saunders Reef SMCA,SMCA,reference,,,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,"f, ,s,u,","f, , , ,","f, ,s,u,z","f, ,s,u,z",,4
POINT_ARENA_REFERENCE_3,UCSC,,Point Arena Reference 3,,,38.88296,-123.69521,POINT_ARENA_REFERENCE_3 UCSC,,,Saunders Reef SMCA,SMCA,reference,,,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,Pt. Arena,20.1,0,0,0,MO129,2,,,,,,,,,,,,,"f,c,s,u,z","f,c,s,u,z",,,,,,"f, ,s,u,","f, ,s,u,",,,,,,4
POINT_ARENA_REFERENCE_4,HSU,,Point Arena Reference 4,,,38.87487,-123.68838,POINT_ARENA_REFERENCE_4 HSU,,,Saunders Reef SMCA,SMCA,reference,,,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,"f, ,s,u,z",,1
POINT_ARENA_REFERENCE_4,UCSC,,Point Arena Reference 4,,,38.87487,-123.68838,POINT_ARENA_REFERENCE_4 UCSC,,,Saunders Reef SMCA,SMCA,reference,,,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,Pt. Arena,20,0,0,0,MO124,2,,,,,,,,,,,,,"f,c,s,u,z","f,c,s,u,z",,,,,"f, ,s,u,","f, ,s,u,","f, ,s,u,",,,,,,5
SAUNDERS_MPA_1,HSU,SAUNDERS_REEF_1,Saunders MPA 1,,,38.85587,-123.66842,SAUNDERS_MPA_1 HSU,,,Saunders Reef SMCA,SMCA,mpa,,,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,Saunders,19.5,2010,0,0,MO104,2,,,,,,,,,,,,,,,,,,,,,,"f, ,s,u,","f, ,s,u,z",,"f, ,s,u,z",,3
SAUNDERS_MPA_1,UCSC,,Saunders MPA 1,,,38.85587,-123.66842,SAUNDERS_MPA_1 UCSC,38.85586,-123.66841,Saunders Reef SMCA,SMCA,mpa,,,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,Saunders,19.5,2010,0,0,MO104,2,,,,,,,,,,,,,", ,s,u,z","f,c,s,u,z",,,,,"f, ,s,u,","f, ,s,u,","f, ,s,u,",,,,,,5
SAUNDERS_MPA_2,HSU,SAUNDERS_REEF_2,Saunders MPA 2,,,38.85035,-123.66662,SAUNDERS_MPA_2 HSU,,,Saunders Reef SMCA,SMCA,mpa,,,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,Saunders,19.8,2010,0,0,MO101,2,,,,,,,,,,,,,,,,,,,,,,"f, ,s,u,","f, ,s,u,z","f, ,s,u,z","f, ,s,u,z",,4
SAUNDERS_MPA_2,UCSC,,Saunders MPA 2,,,38.85035,-123.66662,SAUNDERS_MPA_2 UCSC,38.85035,-123.66661,Saunders Reef SMCA,SMCA,mpa,,,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,Saunders,19.8,2010,0,0,MO101,2,,,,,,,,,,,,,", ,s,u,z","f,c,s,u,z",,,,,"f, ,s,u,","f, ,s,u,","f, ,s,u,",,,,,,5
SAUNDERS_MPA_3,HSU,SAUNDERS_REEF_3,Saunders MPA 3,,,38.84695,-123.66128,SAUNDERS_MPA_3 HSU,,,Saunders Reef SMCA,SMCA,mpa,,,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,Saunders,21.3,2010,0,0,MO099,2,,,,,,,,,,,,,,,,,,,,,,"f, ,s,u,","f, ,s,u,z",,"f, ,s,u,z",,3
SAUNDERS_MPA_3,UCSC,,Saunders MPA 3,,,38.84695,-123.66128,SAUNDERS_MPA_3 UCSC,38.84695,-123.66129,Saunders Reef SMCA,SMCA,mpa,,,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,Saunders,21.3,2010,0,0,MO099,2,,,,,,,,,,,,,"f,c,s,u,z","f,c,s,u,z",,,,,,"f, ,s,u,","f, ,s,u,",,,,,,4
SAUNDERS_MPA_4,HSU,SAUNDERS_REEF_4,Saunders MPA 4,,,38.83573,-123.64898,SAUNDERS_MPA_4 HSU,,,Saunders Reef SMCA,SMCA,mpa,,,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,Saunders,20.6,2010,0,0,MO089,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SAUNDERS_MPA_4,UCSC,,Saunders MPA 4,,,38.83573,-123.64898,SAUNDERS_MPA_4 UCSC,,,Saunders Reef SMCA,SMCA,mpa,,,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,Saunders,20.6,2010,0,0,MO089,2,,,,,,,,,,,,,"f,c,s,u,z","f,c,s,u,z",,,,,"f, ,s,u,","f, ,s,u,","f, ,s,u,",,,,,,5
SAUNDERS_REFERENCE_1,HSU,,Saunders Reference 1,,,38.82227,-123.62233,SAUNDERS_REFERENCE_1 HSU,,,Saunders Reef SMCA,SMCA,reference,,,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,"f, ,s,u,z",,1
SAUNDERS_REFERENCE_1,UCSC,,Saunders Reference 1,,,38.82226,-123.62233,SAUNDERS_REFERENCE_1 UCSC,,,Saunders Reef SMCA,SMCA,reference,,,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,Saunders,21,0,0,0,MO072,2,,,,,,,,,,,,,", ,s,u,z","f,c,s,u,z",,,,,"f, ,s,u,","f, ,s,u,","f, ,s,u,",,,,,,5
SAUNDERS_REFERENCE_2,HSU,,Saunders Reference 2,,,38.80408,-123.5981,SAUNDERS_REFERENCE_2 HSU,,,Saunders Reef SMCA,SMCA,reference,,,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,"f, ,s,u,",,,"f, ,s,u,z",,2
SAUNDERS_REFERENCE_2,UCSC,,Saunders Reference 2,,,38.80408,-123.5981,SAUNDERS_REFERENCE_2 UCSC,,,Saunders Reef SMCA,SMCA,reference,,,YES,CALIFORNIA,NCENTRAL,North Coast,North Coast,Saunders,21,0,0,0,MO050,2,,,,,,,,,,,,,"f, ,s,u,z","f,c,s,u,z",,,,,"f, ,s,u,","f, ,s,u,","f, ,s,u,",,,,,,5
SAUNDERS_REFERENCE_3,UCSC,,Saunders Reference 3,,,38.77883,-123.55918,SAUNDERS_REFERENCE_3 UCSC,,,Saunders Reef SMCA,SMCA,reference,,,NO,CALIFORNIA,NCENTRAL,North Coast,North Coast,Saunders,20.6,0,0,0,MO016,,,,,,,,,,,,,,"f,c,s,u,z","f,c,s,u,z",,,,,,,,,,,,,2
SAUNDERS_REFERENCE_4,UCSC,,Saunders Reference 4,,,38.766069,-123.544514,SAUNDERS_REFERENCE_4 UCSC,,,Saunders Reef SMCA,SMCA,reference,,,NO,CALIFORNIA,NCENTRAL,North Coast,North Coast,Saunders,19.7,0,0,0,MO004,,ETS-Location changed based on mapping,,,,,,,,,,,,"f,c,s,u,z","f,c,s,u,z",,,,,,,,,,,,,2
DEL_MAR_MPA_1,UCSC,,Del Mar MPA 1,,,38.73895,-123.51562,DEL_MAR_MPA_1 UCSC,,,Del Mar Landing SMR,SMR,mpa,,,NO,CALIFORNIA,NCENTRAL,North Coast,North Coast,Del Mar,19,2010,0,0,SN491,,,,,,,,,,,,,,"f, ,s,u,z","f,c,s,u,z",,,,,,,,,,,,,2
DEL_MAR_MPA_3,UCSC,,Del Mar MPA 3,,,38.73736,-123.50758,DEL_MAR_MPA_3 UCSC,,,Del Mar Landing SMR,SMR,mpa,,,NO,CALIFORNIA,NCENTRAL,North Coast,North Coast,Del Mar,15.5,2010,0,0,SN488,,,,,,,,,,,,,,"f,c,s,u,z","f,c,s,u,z",,,,,,,,,,,,,2
